time/time_elapsed,time/total_timesteps,time/fps,train/reward,time/iterations,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/n_updates,train/std,train/loss,train/approx_kl,train/learning_rate,train/clip_fraction
0,2048,3236,0.3659677,1,,,,,,,,,,,
1,4096,2898,-0.013266441,2,-1.417514682561159,342.48343405723574,-0.004365549006615765,0.0004947781562805176,0.2,10,0.9950850605964661,209.3590087890625,0.0040192436,0.00025,0.04384765625
2,6144,2837,-0.34741178,3,-1.4179950103163719,454.6476007461548,-0.0016211199006647802,-0.0017648935317993164,0.2,20,1.0043493509292603,164.98863220214844,0.0022615558,0.00025,0.014013671875
2,8192,2809,2.1868773,4,-1.4209560468792914,117.35141463279724,-0.0006479090181528591,-0.0006681680679321289,0.2,30,1.0009922981262207,49.38664245605469,0.0018883423,0.00025,0.010107421875
3,10240,2794,-1.1817522,5,-1.4201516084372998,1137.0001899719239,-0.0015768251498229802,0.0016186237335205078,0.2,40,1.0009390115737915,476.0947570800781,0.002382169,0.00025,0.004931640625
4,12288,2779,-0.4145223,6,-1.416957215964794,111.58076136112213,-0.002275874116457999,0.003432631492614746,0.2,50,0.997722864151001,52.74423599243164,0.005452223,0.00025,0.038671875
5,14336,2766,0.42559978,7,-1.4188292860984801,589.6593795776367,-0.0017614170952583662,0.002906501293182373,0.2,60,1.001308560371399,331.2266845703125,0.0035140319,0.00025,0.012890625
5,16384,2762,-0.071768604,8,-1.4240528233349323,130.53245489597322,-0.0001826635852921754,-0.0012077093124389648,0.2,70,1.0078530311584473,70.19389343261719,0.0002687661,0.00025,0.000146484375
6,18432,2759,6.2602344,9,-1.4254432536661625,231.6943626880646,-1.8941400776384397e-05,0.0028354525566101074,0.2,80,1.0053313970565796,129.88308715820312,0.00034575874,0.00025,0.0
7,20480,2753,0.760816,10,-1.4242342337965965,217.29024662971497,-0.0016470468661282211,0.006358921527862549,0.2,90,1.0051383972167969,93.20354461669922,0.004808042,0.00025,0.036962890625
8,22528,2750,15.996671,11,-1.4250966064631938,815.8745260238647,-7.310056244023145e-05,0.001432180404663086,0.2,100,1.0080701112747192,278.5362548828125,0.0028350125,0.00025,0.0017578125
8,24576,2748,0.28987792,12,-1.43016177713871,181.18177995681762,-0.0023956905963132156,0.006630837917327881,0.2,110,1.0118883848190308,74.65308380126953,0.0057410044,0.00025,0.022216796875
9,26624,2745,11.7477255,13,-1.4355193436145783,373.21630706787107,-0.0002566163064329885,0.0026372671127319336,0.2,120,1.0206736326217651,185.7621307373047,0.0011108986,0.00025,0.002783203125
10,28672,2730,0.7495189,14,-1.4417984627187252,294.97573509216306,-0.0013355133494769688,0.008084356784820557,0.2,130,1.0251232385635376,123.92914581298828,0.0027911877,0.00025,0.017626953125
11,30720,2687,9.839766,15,-1.4444097496569157,474.8231275558472,-0.00340044834301807,0.001568138599395752,0.2,140,1.027405858039856,238.83311462402344,0.004910953,0.00025,0.041162109375
12,32768,2690,-0.32214636,16,-1.4485502272844315,437.04784269332885,-0.003738683466508519,0.015502095222473145,0.2,150,1.030695915222168,264.1587829589844,0.0061301747,0.00025,0.036572265625
12,34816,2693,13.430461,17,-1.443139986693859,340.71313495635985,-0.0013711118750507011,0.010384678840637207,0.2,160,1.0154883861541748,219.97059631347656,0.0021462434,0.00025,0.011181640625
13,36864,2696,-0.32185346,18,-1.4329054199159146,462.416841506958,-0.0014017191468155942,0.024641096591949463,0.2,170,1.013363242149353,277.6180419921875,0.0057353526,0.00025,0.0431640625
14,38912,2699,-0.97003424,19,-1.4356158919632436,333.3748351097107,-0.0034490704005293083,0.013326168060302734,0.2,180,1.0193400382995605,163.6004180908203,0.0054374,0.00025,0.056201171875
15,40960,2701,-0.017868416,20,-1.438101803511381,340.34995498657224,-0.0017751896200934425,0.021365225315093994,0.2,190,1.0161828994750977,214.90463256835938,0.0035905836,0.00025,0.017431640625
15,43008,2703,-3.0298443,21,-1.4370212331414223,176.0531259059906,-0.000742889065440977,-0.007933974266052246,0.2,200,1.0214531421661377,97.22310638427734,0.0017695813,0.00025,0.007177734375
16,45056,2705,4.779916,22,-1.44719632640481,359.7444926261902,-0.0004851906371186487,0.009164690971374512,0.2,210,1.0349377393722534,218.62611389160156,0.0014814511,0.00025,0.0015625
17,47104,2707,0.27392077,23,-1.4499588027596473,253.83319945335387,-0.000929916906170547,0.017809808254241943,0.2,220,1.0245906114578247,136.22364807128906,0.0026381111,0.00025,0.021337890625
18,49152,2708,0.3950836,24,-1.450536096841097,517.6176089286804,-0.0007256634155055508,0.0021978020668029785,0.2,230,1.0403629541397095,202.45497131347656,0.0009455685,0.00025,0.003271484375
18,51200,2710,3.002123,25,-1.4574045524001122,309.1630630493164,-0.003240200829168316,0.004581451416015625,0.2,240,1.0374301671981812,252.7091522216797,0.009010121,0.00025,0.055517578125
